orientador,topic,topic_label,P_topic_given_orientador,lift_log,n_docs_orientador_total,n_docs_orientador_assigned,coverage_orientador,n_docs_topic
"BRUNET, João Arthur Monteiro.",6,6_software_empresas_objetivo_vulnerabilidades,0.16129032258064516,0.5412147025645314,10,10,1.0,34
"BRUNET, João Arthur Monteiro.",0,0_modelos_dados_linguagem_imagens,0.0967741935483871,-0.38946476676172315,10,10,1.0,52
"BRUNET, João Arthur Monteiro.",2,2_alunos_computao_programao_sistema,0.0967741935483871,-0.22414078633633977,10,10,1.0,44
"BRUNET, João Arthur Monteiro.",4,4_dados_digital_sobre_privacidade,0.03225806451612903,-1.2035645577393312,10,10,1.0,39
"BRUNET, João Arthur Monteiro.",7,7_dados_logs_sistemas_banco,0.03225806451612903,-0.38946476676172315,10,10,1.0,17
"BRUNET, João Arthur Monteiro.",8,8_dados_meio_aplicativos_anlise,0.03225806451612903,-0.33062426673878975,10,10,1.0,16
"BRUNET, João Arthur Monteiro.",9,9_ensino_alunos_atividades_evaso,0.03225806451612903,-0.2681039097574558,10,10,1.0,15
"BRUNET, João Arthur Monteiro.",10,10_oratio_projeto_solid_clean,0.03225806451612903,-0.2681039097574558,10,10,1.0,15
"CAMPELO, Claudio Elízio Calazans.",0,0_modelos_dados_linguagem_imagens,0.2727272727272727,0.6466271649250523,27,22,0.8148148148148148,52
"CAMPELO, Claudio Elízio Calazans.",4,4_dados_digital_sobre_privacidade,0.16363636363636364,0.4203140388495636,27,22,0.8148148148148148,39
"CAMPELO, Claudio Elízio Calazans.",1,1_nuvem_recursos_dados_sistema,0.12727272727272726,-0.09628152519395686,27,22,0.8148148148148148,51
"CAMPELO, Claudio Elízio Calazans.",2,2_alunos_computao_programao_sistema,0.12727272727272726,0.04981109330353909,27,22,0.8148148148148148,44
"CAMPELO, Claudio Elízio Calazans.",3,3_software_projetos_cdigo_bugs,0.09090909090909091,-0.24067603007585028,27,22,0.8148148148148148,42
"CAMPELO, Claudio Elízio Calazans.",6,6_software_empresas_objetivo_vulnerabilidades,0.05454545454545454,-0.542956901948784,27,22,0.8148148148148148,34
"CAMPELO, Claudio Elízio Calazans.",7,7_dados_logs_sistemas_banco,0.05454545454545454,0.13580154115906182,27,22,0.8148148148148148,17
"CAMPELO, Claudio Elízio Calazans.",8,8_dados_meio_aplicativos_anlise,0.05454545454545454,0.19464204118199518,27,22,0.8148148148148148,16
"CAMPELO, Claudio Elízio Calazans.",5,5_sade_animais_pandemia_dados,0.01818181818181818,-1.7249507995559448,27,22,0.8148148148148148,37
"CAMPELO, Claudio Elízio Calazans.",9,9_ensino_alunos_atividades_evaso,0.01818181818181818,-0.8414498905047805,27,22,0.8148148148148148,15
"CAMPELO, Claudio Elízio Calazans.",10,10_oratio_projeto_solid_clean,0.01818181818181818,-0.8414498905047805,27,22,0.8148148148148148,15
"CAMPOS, Lívia Maria Rodrigues Sampaio",0,0_modelos_dados_linguagem_imagens,0.23076923076923078,0.47957308026188644,1,1,1.0,52
"CAMPOS, Lívia Maria Rodrigues Sampaio",1,1_nuvem_recursos_dados_sistema,0.07692307692307693,-0.5998078464783358,1,1,1.0,51
"CAMPOS, Lívia Maria Rodrigues Sampaio",2,2_alunos_computao_programao_sistema,0.07692307692307693,-0.4537152279808398,1,1,1.0,44
"CAMPOS, Lívia Maria Rodrigues Sampaio",3,3_software_projetos_cdigo_bugs,0.07692307692307693,-0.40773011473901655,1,1,1.0,42
"CAMPOS, Lívia Maria Rodrigues Sampaio",4,4_dados_digital_sobre_privacidade,0.07692307692307693,-0.3345267107157215,1,1,1.0,39
"CAMPOS, Lívia Maria Rodrigues Sampaio",5,5_sade_animais_pandemia_dados,0.07692307692307693,-0.2825669717850105,1,1,1.0,37
"CAMPOS, Lívia Maria Rodrigues Sampaio",6,6_software_empresas_objetivo_vulnerabilidades,0.07692307692307693,-0.19918536284595942,1,1,1.0,34
"CAMPOS, Lívia Maria Rodrigues Sampaio",7,7_dados_logs_sistemas_banco,0.07692307692307693,0.47957308026188644,1,1,1.0,17
"CAMPOS, Lívia Maria Rodrigues Sampaio",8,8_dados_meio_aplicativos_anlise,0.07692307692307693,0.5384135802848199,1,1,1.0,16
"CAMPOS, Lívia Maria Rodrigues Sampaio",9,9_ensino_alunos_atividades_evaso,0.07692307692307693,0.6009339372661539,1,1,1.0,15
"CAMPOS, Lívia Maria Rodrigues Sampaio",10,10_oratio_projeto_solid_clean,0.07692307692307693,0.6009339372661539,1,1,1.0,15
"CAMPOS, Lívia Maria Rodrigues Sampaio.",2,2_alunos_computao_programao_sistema,0.3142857142857143,0.9537813407896537,12,12,1.0,44
"CAMPOS, Lívia Maria Rodrigues Sampaio.",4,4_dados_digital_sobre_privacidade,0.14285714285714285,0.28451249769050185,12,12,1.0,39
"CAMPOS, Lívia Maria Rodrigues Sampaio.",0,0_modelos_dados_linguagem_imagens,0.08571428571428572,-0.5108256237659905,12,12,1.0,52
"CAMPOS, Lívia Maria Rodrigues Sampaio.",1,1_nuvem_recursos_dados_sistema,0.08571428571428572,-0.4915942618381032,12,12,1.0,51
"CAMPOS, Lívia Maria Rodrigues Sampaio.",3,3_software_projetos_cdigo_bugs,0.08571428571428572,-0.2995165300987837,12,12,1.0,42
"CAMPOS, Lívia Maria Rodrigues Sampaio.",5,5_sade_animais_pandemia_dados,0.08571428571428572,-0.1743533871447778,12,12,1.0,37
"CAMPOS, Lívia Maria Rodrigues Sampaio.",9,9_ensino_alunos_atividades_evaso,0.08571428571428572,0.7091475219063864,12,12,1.0,15
"CAMPOS, Lívia Maria Rodrigues Sampaio.",6,6_software_empresas_objetivo_vulnerabilidades,0.02857142857142857,-1.1895840668738364,12,12,1.0,34
"CAMPOS, Lívia Maria Rodrigues Sampaio.",7,7_dados_logs_sistemas_banco,0.02857142857142857,-0.5108256237659907,12,12,1.0,17
"CAMPOS, Lívia Maria Rodrigues Sampaio.",8,8_dados_meio_aplicativos_anlise,0.02857142857142857,-0.45198512374305727,12,12,1.0,16
"CAMPOS, Lívia Maria Rodrigues Sampaio.",10,10_oratio_projeto_solid_clean,0.02857142857142857,-0.38946476676172315,12,12,1.0,15
"CAMPOS, Lívia Maria Sampaio.",2,2_alunos_computao_programao_sistema,0.23076923076923078,0.6448970606872698,2,1,0.5,44
"CAMPOS, Lívia Maria Sampaio.",0,0_modelos_dados_linguagem_imagens,0.07692307692307693,-0.6190392084062233,2,1,0.5,52
"CAMPOS, Lívia Maria Sampaio.",1,1_nuvem_recursos_dados_sistema,0.07692307692307693,-0.5998078464783358,2,1,0.5,51
"CAMPOS, Lívia Maria Sampaio.",3,3_software_projetos_cdigo_bugs,0.07692307692307693,-0.40773011473901655,2,1,0.5,42
"CAMPOS, Lívia Maria Sampaio.",4,4_dados_digital_sobre_privacidade,0.07692307692307693,-0.3345267107157215,2,1,0.5,39
"CAMPOS, Lívia Maria Sampaio.",5,5_sade_animais_pandemia_dados,0.07692307692307693,-0.2825669717850105,2,1,0.5,37
"CAMPOS, Lívia Maria Sampaio.",6,6_software_empresas_objetivo_vulnerabilidades,0.07692307692307693,-0.19918536284595942,2,1,0.5,34
"CAMPOS, Lívia Maria Sampaio.",7,7_dados_logs_sistemas_banco,0.07692307692307693,0.47957308026188644,2,1,0.5,17
"CAMPOS, Lívia Maria Sampaio.",8,8_dados_meio_aplicativos_anlise,0.07692307692307693,0.5384135802848199,2,1,0.5,16
"CAMPOS, Lívia Maria Sampaio.",9,9_ensino_alunos_atividades_evaso,0.07692307692307693,0.6009339372661539,2,1,0.5,15
"CAMPOS, Lívia Maria Sampaio.",10,10_oratio_projeto_solid_clean,0.07692307692307693,0.6009339372661539,2,1,0.5,15
"FARIA, Roberto Medeiros de.",5,5_sade_animais_pandemia_dados,0.23076923076923078,0.8160453168830992,1,1,1.0,37
"FARIA, Roberto Medeiros de.",0,0_modelos_dados_linguagem_imagens,0.07692307692307693,-0.6190392084062233,1,1,1.0,52
"FARIA, Roberto Medeiros de.",1,1_nuvem_recursos_dados_sistema,0.07692307692307693,-0.5998078464783358,1,1,1.0,51
"FARIA, Roberto Medeiros de.",2,2_alunos_computao_programao_sistema,0.07692307692307693,-0.4537152279808398,1,1,1.0,44
"FARIA, Roberto Medeiros de.",3,3_software_projetos_cdigo_bugs,0.07692307692307693,-0.40773011473901655,1,1,1.0,42
"FARIA, Roberto Medeiros de.",4,4_dados_digital_sobre_privacidade,0.07692307692307693,-0.3345267107157215,1,1,1.0,39
"FARIA, Roberto Medeiros de.",6,6_software_empresas_objetivo_vulnerabilidades,0.07692307692307693,-0.19918536284595942,1,1,1.0,34
"FARIA, Roberto Medeiros de.",7,7_dados_logs_sistemas_banco,0.07692307692307693,0.47957308026188644,1,1,1.0,17
"FARIA, Roberto Medeiros de.",8,8_dados_meio_aplicativos_anlise,0.07692307692307693,0.5384135802848199,1,1,1.0,16
"FARIA, Roberto Medeiros de.",9,9_ensino_alunos_atividades_evaso,0.07692307692307693,0.6009339372661539,1,1,1.0,15
"FARIA, Roberto Medeiros de.",10,10_oratio_projeto_solid_clean,0.07692307692307693,0.6009339372661539,1,1,1.0,15
"FARIAS, Adalberto Cajueiro de.",2,2_alunos_computao_programao_sistema,0.15789473684210525,0.265407438982366,7,4,0.5714285714285714,44
"FARIAS, Adalberto Cajueiro de.",6,6_software_empresas_objetivo_vulnerabilidades,0.15789473684210525,0.5199373041172464,7,4,0.5714285714285714,34
